ra,dec
205.3630485,-13.1608686
205.3630485,-13.1608686
201.6391407,-12.8066737
206.5823122,-11.5563527
205.2371043,-11.0093342
204.6089755,-8.9271609
199.8315191,-8.5095364
199.8315191,-8.5095364
200.4562487,-8.4717104
202.3934779,-7.3739779
198.8436817,-6.4649888
198.8436817,-6.4649888
198.8436817,-6.4649888
208.9014508,-6.1360833
208.9014508,-6.1360833
202.251206,-4.6100532
293.5607117,-23.1312775
293.5607117,-23.1312775
269.8798333,-27.6074722
283.2643203,-22.4070553
12.7736909,-1.1958844
17.3825067,-0.5177539
15.2175909,0.425966
11.2564264,0.5931866
11.6996481,0.6406182
20.7789809,0.8890076
14.6903464,1.382807
340.3037846,-14.4893256
340.3037846,-14.4893256
17.6412694,1.5784137
21.1061587,1.7049101
18.4241015,3.0970732
13.1403998,3.5077702
14.8759777,4.2277722
18.4700795,6.1238647
11.4802354,6.3470302
11.2983678,6.4815879
12.809613,6.8464327
12.8452963,8.8675474
12.8452963,8.8675474
12.8452963,8.8675474
169.4827046,2.6190363
12.7700071,9.5167694
16.6550286,10.1897385
16.4625203,11.7537171
185.306183,-10.2820915
185.306183,-10.2820915
189.7041426,-10.0605942
189.7041426,-10.0605942
186.5410958,-9.6248232
183.6456643,-9.5626286
190.9484237,-8.4784159
187.2947047,-6.8342028
186.8729195,-6.7218474
186.8729195,-6.7218474
191.363117,-6.576051
289.0918242,-15.7712178
73.7667927,18.654323
230.4799011,-20.2317975
230.4799011,-20.2317975
230.4799011,-20.2317975
253.7688479,-28.7105836
347.7043164,-7.8575592
160.5941265,4.4413751
160.5941265,4.4413751
160.5941265,4.4413751
242.5734559,-24.9906029
242.5734559,-24.9906029
227.849371,-17.8754464
227.849371,-17.8754464
181.2386829,-6.8052985
179.8358421,-6.5178542
181.1211419,-4.8991358
181.1211419,-4.8991358
183.4686492,-3.8318097
185.181563,-1.5909138
181.6296115,-1.1606
188.8935189,-10.0692793
188.8935189,-10.0692793
182.8173343,-9.4141696
183.3667344,-8.9952309
63.2739346,15.2477027
185.0315429,-8.9757427
190.6892403,-8.5359826
182.3663818,-8.3096141
186.0853062,-6.3789537
185.5507926,-4.7172908
185.5507926,-4.7172908
189.9128532,-3.3705631
188.278284,-1.9532879
187.6314027,-1.1609171
186.8026947,1.5668631
94.2064312,24.5958335
76.8673317,16.8676948
163.0323119,0.493167
129.6821253,15.6806039
131.3583524,19.698401
131.3583524,19.698401
342.0316493,-14.4947789
157.9356855,0.9372782
157.9356855,0.9372782
157.9356855,0.9372782
157.9356855,0.9372782
133.7094899,11.8482712
133.7094899,11.8482712
133.7094899,11.8482712
133.7094899,11.8482712
133.7094899,11.8482712
130.1551381,13.0146799
171.5151874,1.2306237
131.2665588,13.5497322
131.2665588,13.5497322
125.2239144,16.0907958
132.6211743,17.5423852
129.7768928,19.0100046
129.2823699,20.3992512
132.1698795,20.4550162
132.1698795,20.4550162
125.9528309,22.6339399
202.0161895,-15.9379749
203.3018653,-14.5041057
204.7792935,-6.0417592
335.6233145,-7.9563525
291.5953596,-22.2477071
16.2274724,7.2692169
13.4321524,7.9952914
13.1943679,9.6929181
79.1407971,20.2549034
349.3843458,1.3001522
349.3843458,1.3001522
349.3843458,1.3001522
349.3843458,1.3001522
233.3698192,-16.7737113
233.0743401,-22.3583447
55.4442857,18.2684913
246.6429443,-15.7925384
62.670422,24.4016558
234.8578846,-20.1988975
234.8578846,-20.1988975
76.44594,21.548199
205.3758786,-9.9460704
351.6064952,-6.0279068
352.0516724,-7.6037856
19.6101417,6.8167277
172.3353708,-1.4551364
172.3353708,-1.4551364
172.3353708,-1.4551364
52.3420548,22.2993491
78.3391194,16.4141986
245.4405531,-23.548273
140.3390845,14.3678691
228.0210932,-20.1081634
233.6247336,-23.2594663
233.6247336,-23.2594663
228.6188638,-21.0227209
232.4461375,-17.557463
166.8010058,3.0399357
252.426008,-19.5430504
252.426008,-19.5430504
252.426008,-19.5430504
252.426008,-19.5430504
163.2519122,5.3064776
156.4054989,2.5138829
156.6226981,4.7640203
159.4209874,6.2858689
157.6222171,6.8636732
353.9169507,-7.6867213
351.612262,1.3375909
351.1353785,-5.1641451
242.5613635,-19.3193831
126.8968265,11.6674131
132.7376431,13.170269
132.7376431,13.170269
135.8832666,14.2504994
136.7892752,15.2056765
136.4894259,16.3255146
129.3896679,16.5220648
133.8382032,16.7940663
127.761137,16.9004702
124.3609294,17.0241557
130.082542,18.6929046
127.5787231,22.2359194
127.9373409,19.0745863
130.4971951,19.9166357
133.1218996,21.2386816
134.2021746,21.5026882
134.2021746,21.5026882
136.3614923,21.6685886
132.7075876,21.7890367
125.9864854,22.663226
126.3726821,23.2974061
