ra,dec
298.17722,42.237041
297.79514,40.417709
292.85574,46.391178
289.29065,51.40889
284.29694,49.15868
284.61621,49.190811
284.73145,49.533192
289.43463,49.4734
298.48282,46.793621
298.48282,46.793621
287.60559,49.523258
287.60559,49.523258
295.80658,50.909801
281.97125,43.672771
288.99258,46.67075
282.43918,43.734482
282.43918,43.734482
290.58685,51.69582
286.58539,46.87093
295.28723,41.221958
290.49316,39.785519
294.74207,43.536831
294.6499,43.33559
287.03952,46.640129
287.03952,46.640129
286.43365,50.300331
297.48257,40.680779
296.17728,46.99902
291.15295,40.887489
294.17108,40.055168
290.66852,40.39772
290.10654,40.490662
292.58444,49.923161
288.66156,49.737209
286.27176,43.59523
290.09082,39.81699
298.25204,40.496078
298.25204,40.496078
298.25204,40.496078
298.25204,40.496078
298.25204,40.496078
289.67935,40.700459
295.28723,41.221958
289.38351,41.392689
293.26093,44.868889
297.35233,46.09594
290.09082,39.81699
295.52121,49.738628
291.46732,50.75948
294.36487,40.720879
297.73984,46.94191
293.87988,41.393822
289.92072,41.542831
298.48111,41.615341
294.6741,42.075581
294.63239,43.400471
295.41788,51.184761
297.43039,39.847839
297.43039,39.847839
297.43039,39.847839
297.70935,48.080853
286.24344,50.040379
297.04541,46.328701
295.78516,40.439548
295.78516,40.439548
289.73169,46.953819
294.6741,42.075581
297.13263,42.76825
290.85413,51.222809
293.26093,44.868889
288.84863,51.209049
297.50986,46.961262
297.50986,46.961262
294.99631,50.470058
288.83936,46.98674
288.83936,46.98674
297.72925,42.86692
298.01443,42.957458
290.32651,43.12183
296.95206,43.271969
298.0231,43.363522
286.74188,43.190102
295.57727,46.254742
297.04541,46.328701
288.83936,46.98674
298.37384,40.61842
288.77103,40.664181
288.77103,40.664181
295.28723,41.221958
289.56866,43.538609
290.28845,43.755322
290.82602,44.184109
294.31699,43.629341
291.90704,49.262051
294.31699,43.629341
288.43576,43.763489
289.86157,43.472771
292.67807,46.726711
292.67807,46.726711
293.98157,46.687752
283.60526,39.997978
290.52676,38.142979
291.74164,37.688938
294.51126,38.790501
298.86658,46.502239
296.85663,41.758179
295.30008,40.556591
298.51532,41.891201
295.02567,46.956001
297.27057,50.121811
295.49667,42.537891
293.0795,43.073711
288.44739,44.801682
288.44739,44.801682
294.8161,45.306122
291.96069,42.43301
287.57117,42.813919
289.59308,49.781158
297.21408,41.66404
296.85663,41.758179
284.34274,46.316551
290.97342,45.290321
286.55807,38.405369
286.47147,49.649021
286.47147,49.649021
