ra,dec
286.86526,41.796021
292.49802,49.329006
294.57697,38.265518
294.1062,46.210991
294.63834,39.39798
297.82056,41.96693
284.35446,40.723286
294.36057,38.948181
290.28503,40.689362
299.05725,44.074902
289.64764,43.579182
295.23151,44.1129
291.68573,39.42886
293.07806,38.359081
292.23782,39.00507
299.55634,40.460297
284.4447,40.693508
298.85361,40.131088
295.15051,46.772305
295.15051,46.772305
298.03931,39.901939
293.07834,42.277039
299.07883,40.832291
283.73706,47.797131
296.88654,42.655079
291.89893,41.744492
294.47125,40.278759
297.3176,48.239368
299.50751,40.477428
299.06491,41.508301
299.62952,47.479809
297.98141,39.900162
299.35519,40.43306
291.30753,44.457619
292.90903,40.152039
292.11945,44.657928
295.33014,39.16254
285.91943,38.871815
285.98483,43.090912
292.5448,47.37191
292.5448,47.37191
293.72894,41.70121
297.59085,40.81496
293.25812,46.305729
298.76404,48.64492
298.98038,40.87204
297.86011,46.386261
293.81381,38.926201
296.58734,50.490761
291.85898,41.728489
284.54184,48.961281
290.14175,37.741367
294.25339,42.062382
298.03104,42.052479
289.95581,38.463631
293.60394,39.388599
288.84711,47.022911
285.33636,46.31237
298.55927,40.604858
291.74017,38.014912
284.6232,39.182411
300.08737,46.200695
284.36902,40.718491
281.2738,47.774399
292.77954,47.452099
293.09113,38.3521
293.07663,46.21801
289.84772,44.185783
298.55576,41.034061
291.77182,41.098068
298.41934,40.440819
291.00287,44.899452
282.31351,46.419399
299.93927,45.83321
294.37619,38.75787
300.66025,45.853519
291.44766,38.149281
285.68408,38.262817
295.32401,40.902191
290.47311,37.9062
293.6076,42.058998
297.58987,40.60194
287.69272,46.366928
297.2952,42.011681
299.59561,40.622822
295.77368,43.671951
289.1702,50.627621
289.21481,50.650921
296.93594,44.161045
290.99692,37.199219
290.27777,37.78933
291.534,38.816261
287.19815,38.42897
300.93738,45.49007
300.93738,45.49007
290.85458,42.086922
289.32925,42.655811
297.42636,43.816502
288.82303,42.542728
288.9256,42.531509
299.67615,40.856491
296.78445,43.619011
292.97775,38.42078
295.2374,46.81963
293.26605,45.350697
288.32147,51.726601
288.32147,51.726601
282.25177,43.493759
297.85632,40.218102
298.71362,46.903118
292.6933,37.705513
292.05676,37.776192
294.96246,46.676289
289.09106,40.751122
295.94781,44.827831
290.70102,38.954681
291.12799,38.914688
293.67245,38.985699
287.12234,42.70694
298.36188,41.781109
296.55386,43.543179
290.20993,45.251904
288.02454,46.30587
297.30969,46.449471
293.44879,37.722641
290.20364,38.374931
290.34735,38.377899
298.97055,40.382729
299.22189,44.180519
286.65604,46.783543
286.65604,46.783543
293.57629,46.775471
298.70923,47.840019
296.25168,39.18399
284.29959,42.604321
298.81821,46.94035
292.03107,39.24548
293.57086,39.25264
294.5123,39.462139
298.78799,45.77422
296.04401,42.454708
280.88184,47.564243
291.81857,47.675282
283.91089,47.787048
289.29266,40.270611
291.60175,42.86388
296.935,44.850269
295.21036,46.749321
295.91885,41.332432
291.78754,42.469528
299.03448,47.90485
299.72845,44.031811
298.65317,47.713711
297.66467,47.801392
293.0708,37.98687
295.26227,46.78138
296.11734,47.879829
294.97745,38.678352
300.71927,45.09605
293.53629,39.69009
293.98346,39.43042
295.06442,39.960659
295.92065,47.448608
298.04419,47.627918
300.15186,45.089611
291.15738,48.861145
295.21753,39.933128
299.44733,41.398121
300.97794,44.089069
296.35733,48.86372
292.03091,37.773529
294.59052,41.94651
294.53619,46.50983
288.14764,43.099709
281.74261,42.123081
293.77737,38.775459
298.38052,47.836048
290.26614,38.837917
290.12018,38.50951
293.91489,50.46933
290.97223,40.994678
296.61996,48.9058
286.01587,38.411339
290.9725,50.267948
299.67587,47.07584
288.44153,45.609001
281.76578,44.57637
286.39584,43.075821
295.43478,46.203129
284.67728,44.79768
285.3385,46.309872
297.97424,46.804562
297.71039,48.083832
293.78574,45.01849
296.80893,48.965389
287.85812,42.542629
288.84903,47.021969
296.10959,51.005501
293.72586,47.24704
284.84662,49.692402
288.6925,49.72353
291.54099,37.816559
291.54099,37.816559
283.42911,47.59251
290.81604,47.682892
292.97882,48.99667
284.84662,49.692402
290.62134,38.695499
286.0705,38.975101
297.76697,49.446659
290.96353,38.472542
289.31018,39.132221
291.02252,50.259109
296.25949,50.344372
289.8533,46.787151
291.02249,39.917629
289.79907,38.555061
298.70157,47.337315
296.18063,39.435452
294.58817,40.165051
293.83701,40.41275
289.79907,38.555061
297.39825,40.229191
288.19809,41.09417
291.75223,41.311241
290.41916,41.525372
298.32425,42.38847
285.11969,42.299129
298.57642,40.491669
294.90594,43.381889
297.31979,43.332722
292.26813,37.955639
293.96606,42.837269
286.5242,37.985432
286.2406,42.670231
288.50888,41.09589
299.67938,40.965141
283.4711,41.873211
289.73972,44.647419
291.5563,38.446289
285.67288,44.11673
292.37903,39.435841
297.4809,46.589142
286.87967,39.378391
298.04453,40.086361
289.36136,40.128819
297.77219,40.15506
299.07513,40.35833
290.53214,44.77512
298.42087,44.950802
289.35855,42.526192
301.57855,44.31218
281.48273,47.208031
293.9285,45.142509
288.08749,43.876141
297.51782,49.917702
290.02872,43.261089
288.02509,43.544579
291.48425,37.397282
292.24802,40.696049
299.00867,40.662231
299.702,40.896271
297.27911,43.567871
286.21048,37.465591
294.90851,43.986568
290.42538,41.139149
290.42538,41.139149
289.70703,41.84354
285.91641,37.59428
296.89938,43.707218
285.89124,44.181728
294.59955,38.366772
289.04434,42.280022
289.0058,47.040421
297.43201,47.128551
283.8757,47.231918
298.00024,47.243649
293.08734,39.799122
283.5701,43.736118
292.87848,45.344372
284.67569,47.339211
298.02615,39.918331
289.19144,40.263184
281.50342,44.409458
291.40289,37.676689
291.56332,40.26778
288.2341,40.520901
290.2316,40.356571
299.6813,40.428425
289.96674,40.532661
284.88037,45.134621
293.91364,45.189793
294.121,47.408791
297.44904,40.510899
298.83603,45.11652
296.95724,47.55381
293.45612,41.048222
291.11057,51.058929
300.72702,45.305538
294.91202,45.566685
296.43567,41.134602
292.1059,38.83622
298.45319,45.746101
299.28305,45.964439
291.16476,48.052429
293.7756,41.228489
293.45428,39.803928
290.93726,37.703972
295.48187,39.017288
292.87039,40.105331
291.02655,36.91637
287.99124,46.35688
287.99609,46.32943
298.86972,40.71991
288.16071,40.878891
298.66101,41.13789
291.85648,37.065651
293.42636,46.68792
295.19717,42.416939
295.0256,44.330189
282.15491,42.234547
298.59164,42.206429
295.19562,42.417068
293.68912,46.41288
297.41867,46.64426
281.77554,47.59325
291.01727,37.975368
292.63766,37.64188
291.16953,42.640808
292.06082,37.770191
297.74799,42.995205
297.40097,43.042782
288.98038,46.95406
286.56378,39.53447
291.95761,38.070049
288.80377,49.530788
292.68985,37.774361
298.35434,47.672081
288.54199,43.255421
288.90887,50.16283
298.04318,41.195
290.50125,40.6945
291.26672,47.114769
297.77292,40.589088
286.46753,38.385971
290.74918,38.659111
281.44067,47.246471
285.41519,39.776009
293.10153,38.340618
294.64081,43.45393
292.99329,38.319489
294.30887,46.413052
290.31827,37.91098
297.25598,47.550491
289.61908,41.927189
298.86102,43.417679
298.71082,47.369911
294.29196,38.138771
294.53149,43.398659
299.07944,40.825642
292.16028,47.166649
291.9632,43.88166
291.22729,50.921791
297.86734,40.10257
292.27005,47.307362
287.47369,42.00375
300.61877,44.594391
296.49731,40.765629
297.60681,40.656479
294.74246,38.301811
299.12286,40.489071
291.14807,40.669399
298.91278,40.110851
286.99091,38.916222
297.36047,40.056141
297.49054,41.8326
298.38754,44.151962
291.69067,41.332878
298.57779,40.681438
291.90503,47.094929
293.18408,42.528019
292.38293,38.40057
296.34622,50.390789
295.16696,46.754341
287.45532,38.23959
299.75021,44.561981
298.90012,40.303589
290.0831,38.398472
296.49731,40.765629
291.58517,42.367229
298.53549,48.419479
300.60422,43.902946
289.17761,41.695171
300.4068,46.378941
299.42017,40.73838
291.02097,36.903648
292.88342,38.074951
294.08896,39.128101
293.8067,44.867352
290.47928,43.505268
296.61078,49.567039
290.31039,40.98143
289.55566,42.572048
291.24924,45.92149
295.93921,44.837379
290.72519,48.210411
287.95279,46.33176
287.80408,43.168961
300.18863,46.185768
289.80322,38.366692
285.5921,39.206268
290.31589,37.977779
286.58932,44.5247
294.46231,38.381912
297.81674,43.440411
284.74942,48.558128
290.60129,41.26902
295.10251,46.732922
297.75125,40.647388
295.64212,48.773071
285.81662,49.352699
298.84119,44.749889
291.55807,38.546219
295.31842,40.208961
290.33362,37.911171
291.51395,38.365471
292.92432,38.44228
292.6069,45.701408
291.56772,38.267109
298.67731,41.640282
295.5571,40.321209
290.29932,37.908932
289.71487,39.283871
294.20068,46.327221
291.71054,38.96273
289.79135,40.299431
290.29623,47.990364
284.34839,40.72826
291.1781,47.322941
297.58023,39.702702
294.78763,43.739021
292.93121,45.40427
292.03525,38.945911
299.0473,46.68557
297.35278,40.958141
289.76492,38.38345
295.60934,45.484451
295.53394,39.762249
294.09555,38.885059
297.34418,39.88501
292.79333,45.628262
298.90161,42.212799
293.70847,38.958012
290.73364,48.207378
293.71811,41.430939
290.79037,41.26461
289.98096,43.299492
290.6102,41.470402
295.16098,42.799129
298.51794,39.924438
298.94785,43.539711
292.85916,38.431931
288.94131,44.593922
289.97617,38.450489
291.3591,38.71891
292.74493,41.93486
298.03653,39.90601
291.81998,41.112476
286.97745,38.898762
287.25095,44.946308
286.05939,45.516804
298.79892,42.35339
296.11276,39.611599
298.87418,43.440891
299.83664,45.780731
295.54755,46.287682
284.22879,49.294189
283.72379,40.23756
295.67188,40.18037
297.68881,40.643661
283.72955,40.789028
296.12457,49.726669
290.35706,41.76162
295.77768,50.149025
290.30371,37.924191
298.56668,40.128239
294.20786,39.680115
291.25778,42.580139
295.42047,40.842659
297.22046,47.748249
285.25616,41.595589
294.25079,38.404236
296.99017,47.130661
286.22708,44.430328
295.2811,40.132858
294.20786,39.680115
294.20786,39.680115
294.20786,39.680115
294.20786,39.680115
296.77271,47.158539
295.50211,38.98354
297.50562,39.756802
290.86606,40.901581
295.15546,44.294861
297.42743,39.781139
298.92361,40.749538
291.8269,41.7099
297.78012,41.209229
290.15723,38.52438
286.40723,44.527355
291.92636,37.101292
288.93597,49.360142
292.33884,38.84491
297.16086,39.63007
294.33847,50.33654
290.64301,48.887501
292.16486,37.275742
295.55756,46.172241
298.47058,41.06625
291.36423,43.385921
292.67294,38.58997
289.20834,50.61599
294.05481,39.845249
294.05481,39.845249
295.3027,46.772018
292.27774,39.461071
292.58865,38.80143
289.91635,43.507671
295.5596,46.17804
294.74988,49.663441
296.34799,44.501961
294.05481,39.845249
287.24524,38.68808
297.66504,40.681992
297.66504,40.681992
287.82489,45.34808
283.72427,46.879112
285.75586,44.724998
288.19992,46.149422
291.97629,37.668652
297.16177,41.775822
289.90698,42.0462
292.77893,40.795631
284.69278,44.010208
291.34879,51.256119
292.01379,42.28875
294.86813,44.283199
290.63043,44.565601
283.47574,41.775318
292.69855,37.778481
282.92773,42.80608
287.22513,44.899841
287.96655,46.33849
297.72214,48.710258
295.19568,48.567421
294.63989,50.33419
290.33072,37.882092
289.44867,41.731411
290.84921,38.63184
284.53635,48.749611
294.11237,46.252708
294.71292,46.576221
298.29953,44.78899
294.91577,46.485321
300.56305,43.980068
298.01016,43.37159
298.94901,43.441715
298.85892,46.697208
300.23093,46.0452
287.18967,38.42382
291.19559,38.788078
287.96875,46.301659
298.05338,40.210739
287.98569,46.3484
291.24866,40.221352
295.66324,38.718243
293.48825,39.696331
292.91196,47.47504
294.54642,46.50787
286.7937,44.638561
293.20773,41.698582
298.46341,48.32185
288.44305,42.45676
295.19983,46.731731
297.27448,46.117908
292.58087,38.70911
288.0498,46.35833
296.47104,51.215221
288.05292,38.93792
296.82007,43.38802
296.82007,43.38802
285.47534,38.099361
292.13428,46.202419
290.70651,48.226559
291.2276,38.771351
292.96982,45.905579
288.85028,44.596939
298.48425,41.06921
298.82495,46.713531
293.80884,48.36562
297.83713,42.079369
299.41986,47.562832
291.36188,49.02198
293.29227,38.2118
292.47888,38.657921
297.33377,39.44759
291.21338,42.625599
286.39584,43.075821
291.69104,38.61499
295.07507,44.382992
291.36188,49.02198
291.36188,49.02198
294.48499,38.352859
295.88568,39.31599
293.20139,45.454399
295.22089,46.823879
288.09009,46.322948
296.20578,44.660446
293.72528,39.511971
293.42361,42.917641
293.95221,45.31826
291.98572,45.211441
289.75626,39.57645
298.00357,48.56424
288.79703,42.1689
296.2478,44.07679
294.7005,46.573132
291.79666,47.385929
286.53278,44.554569
299.20667,45.64547
291.58682,42.827621
293.6228,41.966492
294.73132,43.989361
299.08536,40.774529
293.82782,48.054241
290.62659,41.490959
286.77161,39.266941
286.04739,38.979851
299.60825,41.268341
296.63315,39.327141
299.08658,45.776821
290.04114,42.10574
294.99649,39.629921
287.39777,43.414341
291.61646,48.775639
296.04196,48.681351
287.25299,45.90934
290.44476,48.462891
285.28363,38.947281
286.62854,50.471272
291.18927,38.731159
290.97906,50.258148
292.68515,41.905918
288.86853,39.496132
290.62686,41.4604
292.61426,41.437229
287.56268,45.679008
290.27658,41.269341
296.06665,39.938011
299.0098,46.684738
295.46341,46.01123
286.78354,44.73737
286.58829,44.640411
294.01822,38.226292
289.61856,47.557968
296.66855,43.540569
291.91415,37.807819
292.14804,44.70414
285.56747,38.040691
298.91083,42.18504
295.66672,43.37035
290.57632,41.546188
293.52997,45.66433
292.93552,42.824871
293.94012,40.447189
300.23587,44.76952
297.09583,46.211021
293.72,39.446449
289.26575,40.255482
290.16418,41.782631
294.12762,43.975128
291.20007,39.053982
294.91486,43.862431
290.0632,41.81522
298.96481,44.45277
282.61804,46.787521
287.08252,46.104069
288.84711,39.934311
297.77899,39.776001
296.17621,43.931751
292.79254,47.576721
295.49011,39.105862
297.85822,41.330231
288.84711,39.934311
291.16129,38.710602
294.46487,39.725391
287.82877,42.061642
292.26291,46.430641
300.9288,44.356293
290.51785,41.238762
295.7023,43.900928
290.35947,41.552052
284.65338,42.48835
295.19534,39.92725
289.74673,50.99371
291.9281,41.968441
287.64566,48.638821
291.21246,50.45356
294.04175,39.457371
288.53769,43.258904
294.43747,44.180901
293.26266,46.30888
291.73361,47.109161
293.05508,47.606739
289.05286,46.67593
298.4985,41.08337
291.78796,42.834099
290.51251,43.10128
289.77826,38.262741
282.24762,45.930779
288.74072,49.543018
295.45059,50.54211
296.20569,44.498989
292.77634,38.39397
289.2247,40.260818
295.85498,44.301601
295.85782,41.415691
291.06143,50.22694
289.72168,45.439758
289.5531,41.056931
294.85272,43.686459
298.45123,46.620861
291.54214,48.991192
298.90598,47.611359
293.73605,38.940041
297.23672,40.034039
298.22543,40.783989
288.23523,40.612839
291.39969,44.473099
291.27859,42.53738
290.16943,41.54974
286.83643,46.288509
296.52655,39.49091
289.97791,50.668259
290.3602,44.273361
292.83698,47.55394
295.30386,43.059681
300.94925,45.247952
293.06857,42.957211
291.16476,48.052429
290.38583,41.552311
294.51309,46.500759
295.33606,40.392132
288.03705,39.208988
297.81274,45.508678
290.03314,38.426861
289.07382,40.977531
288.95825,44.577999
285.21283,45.2514
293.14069,37.994469
300.29211,44.731041
285.43997,45.011559
291.00818,50.255589
284.91156,39.298618
290.12021,38.534821
292.97867,42.056492
298.75528,40.665218
281.04361,42.975761
286.37338,37.919003
284.34848,40.690659
292.32425,42.88496
290.73431,48.16341
291.54626,37.817749
294.88538,39.084202
289.94693,41.802818
290.89783,37.972778
288.11703,38.437733
287.0574,37.991367
296.97321,43.394669
291.12354,42.663353
291.75128,38.034431
294.60608,39.920361
287.14621,47.183529
294.88477,46.646591
287.17123,39.388329
297.53574,41.940571
284.49561,44.988121
291.48654,39.211723
289.75653,46.952888
298.23792,48.175758
292.25284,38.60899
291.61011,42.810459
295.14267,39.93071
299.51422,41.220589
293.72696,39.0368
290.96017,50.284679
295.18976,42.523319
286.78522,38.151642
296.50925,44.625912
293.4678,48.12608
293.44537,38.929588
295.29333,40.183308
287.07892,43.068771
294.02347,39.92408
297.19739,46.22826
292.8598,45.205791
291.08929,42.590969
290.96243,50.272629
289.94019,50.652771
298.12234,40.462349
287.97504,46.35326
294.15503,46.575706
282.19479,46.522888
296.90204,43.839821
